wE	aE	wRK	aRK
-0.072148	0.198664	-0.072147	0.198660
-0.072341	0.198657	-0.072340	0.198653
-0.072535	0.198649	-0.072534	0.198646
-0.072729	0.198642	-0.072727	0.198638
-0.072922	0.198635	-0.072921	0.198631
-0.073116	0.198628	-0.073114	0.198624
-0.073309	0.198620	-0.073308	0.198617
-0.073503	0.198613	-0.073502	0.198609
-0.073696	0.198606	-0.073695	0.198602
-0.073890	0.198598	-0.073889	0.198594
-0.074084	0.198591	-0.074082	0.198587
-0.074277	0.198583	-0.074276	0.198580
-0.074471	0.198576	-0.074469	0.198572
-0.074664	0.198568	-0.074663	0.198565
-0.074858	0.198561	-0.074856	0.198557
-0.075051	0.198554	-0.075050	0.198550
-0.075245	0.198546	-0.075243	0.198542
-0.075438	0.198539	-0.075437	0.198535
-0.075632	0.198531	-0.075630	0.198527
-0.075825	0.198523	-0.075824	0.198520
-0.076019	0.198516	-0.076017	0.198512
-0.076212	0.198508	-0.076211	0.198504
-0.076406	0.198501	-0.076404	0.198497
-0.076599	0.198493	-0.076598	0.198489
-0.076792	0.198485	-0.076791	0.198481
-0.076986	0.198478	-0.076984	0.198474
-0.077179	0.198470	-0.077178	0.198466
-0.077373	0.198462	-0.077371	0.198458
-0.077566	0.198454	-0.077565	0.198451
-0.077760	0.198447	-0.077758	0.198443
-0.077953	0.198439	-0.077952	0.198435
-0.078146	0.198431	-0.078145	0.198427
-0.078340	0.198423	-0.078338	0.198419
-0.078533	0.198415	-0.078532	0.198412
-0.078727	0.198408	-0.078725	0.198404
-0.078920	0.198400	-0.078918	0.198396
-0.079113	0.198392	-0.079112	0.198388
-0.079307	0.198384	-0.079305	0.198380
-0.079500	0.198376	-0.079498	0.198372
-0.079693	0.198368	-0.079692	0.198364
-0.079887	0.198360	-0.079885	0.198356
-0.080080	0.198352	-0.080078	0.198348
-0.080273	0.198344	-0.080272	0.198340
-0.080467	0.198336	-0.080465	0.198332
-0.080660	0.198328	-0.080658	0.198324
-0.080853	0.198320	-0.080851	0.198316
-0.081046	0.198312	-0.081045	0.198308
-0.081240	0.198304	-0.081238	0.198300
-0.081433	0.198296	-0.081431	0.198292
-0.081626	0.198288	-0.081625	0.198283
-0.081819	0.198279	-0.081818	0.198275
-0.082013	0.198271	-0.082011	0.198267
-0.082206	0.198263	-0.082204	0.198259
-0.082399	0.198255	-0.082397	0.198251
-0.082592	0.198247	-0.082591	0.198242
-0.082786	0.198238	-0.082784	0.198234
-0.082979	0.198230	-0.082977	0.198226
-0.083172	0.198222	-0.083170	0.198218
-0.083365	0.198213	-0.083363	0.198209
-0.083558	0.198205	-0.083557	0.198201
-0.083751	0.198197	-0.083750	0.198193
-0.083945	0.198188	-0.083943	0.198184
-0.084138	0.198180	-0.084136	0.198176
-0.084331	0.198171	-0.084329	0.198167
-0.084524	0.198163	-0.084522	0.198159
-0.084717	0.198155	-0.084715	0.198150
-0.084910	0.198146	-0.084909	0.198142
-0.085103	0.198138	-0.085102	0.198133
-0.085297	0.198129	-0.085295	0.198125
-0.085490	0.198121	-0.085488	0.198116
-0.085683	0.198112	-0.085681	0.198108
-0.085876	0.198103	-0.085874	0.198099
-0.086069	0.198095	-0.086067	0.198091
-0.086262	0.198086	-0.086260	0.198082
-0.086455	0.198078	-0.086453	0.198073
-0.086648	0.198069	-0.086646	0.198065
-0.086841	0.198060	-0.086839	0.198056
-0.087034	0.198052	-0.087032	0.198047
-0.087227	0.198043	-0.087225	0.198039
-0.087420	0.198034	-0.087418	0.198030
-0.087613	0.198025	-0.087611	0.198021
-0.087806	0.198017	-0.087804	0.198012
-0.087999	0.198008	-0.087997	0.198004
-0.088192	0.197999	-0.088190	0.197995
-0.088385	0.197990	-0.088383	0.197986
-0.088578	0.197981	-0.088576	0.197977
-0.088771	0.197973	-0.088769	0.197968
-0.088964	0.197964	-0.088962	0.197959
-0.089157	0.197955	-0.089155	0.197950
-0.089350	0.197946	-0.089348	0.197942
-0.089543	0.197937	-0.089541	0.197933
-0.089736	0.197928	-0.089734	0.197924
-0.089929	0.197919	-0.089927	0.197915
-0.090121	0.197910	-0.090119	0.197906
-0.090314	0.197901	-0.090312	0.197897
-0.090507	0.197892	-0.090505	0.197888
-0.090700	0.197883	-0.090698	0.197878
-0.090893	0.197874	-0.090891	0.197869
-0.091086	0.197865	-0.091084	0.197860
-0.091279	0.197856	-0.091277	0.197851
-0.091471	0.197847	-0.091469	0.197842
-0.091664	0.197837	-0.091662	0.197833
-0.091857	0.197828	-0.091855	0.197824
-0.092050	0.197819	-0.092048	0.197815
-0.092243	0.197810	-0.092241	0.197805
-0.092435	0.197801	-0.092433	0.197796
-0.092628	0.197791	-0.092626	0.197787
-0.092821	0.197782	-0.092819	0.197778
-0.093014	0.197773	-0.093012	0.197768
-0.093207	0.197764	-0.093204	0.197759
-0.093399	0.197754	-0.093397	0.197750
-0.093592	0.197745	-0.093590	0.197740
-0.093785	0.197736	-0.093783	0.197731
-0.093977	0.197726	-0.093975	0.197722
-0.094170	0.197717	-0.094168	0.197712
-0.094363	0.197707	-0.094361	0.197703
-0.094556	0.197698	-0.094553	0.197693
-0.094748	0.197688	-0.094746	0.197684
-0.094941	0.197679	-0.094939	0.197674
-0.095134	0.197670	-0.095131	0.197665
-0.095326	0.197660	-0.095324	0.197655
-0.095519	0.197650	-0.095517	0.197646
-0.095711	0.197641	-0.095709	0.197636
-0.095904	0.197631	-0.095902	0.197627
-0.096097	0.197622	-0.096094	0.197617
-0.096289	0.197612	-0.096287	0.197607
-0.096482	0.197603	-0.096480	0.197598
-0.096675	0.197593	-0.096672	0.197588
-0.096867	0.197583	-0.096865	0.197578
-0.097060	0.197574	-0.097057	0.197569
-0.097252	0.197564	-0.097250	0.197559
-0.097445	0.197554	-0.097442	0.197549
-0.097637	0.197544	-0.097635	0.197539
-0.097830	0.197535	-0.097827	0.197530
-0.098022	0.197525	-0.098020	0.197520
-0.098215	0.197515	-0.098213	0.197510
-0.098407	0.197505	-0.098405	0.197500
-0.098600	0.197495	-0.098597	0.197490
-0.098792	0.197485	-0.098790	0.197481
-0.098985	0.197476	-0.098982	0.197471
-0.099177	0.197466	-0.099175	0.197461
-0.099370	0.197456	-0.099367	0.197451
-0.099562	0.197446	-0.099560	0.197441
-0.099755	0.197436	-0.099752	0.197431
-0.099947	0.197426	-0.099945	0.197421
-0.100140	0.197416	-0.100137	0.197411
-0.100332	0.197406	-0.100329	0.197401
-0.100524	0.197396	-0.100522	0.197391
-0.100717	0.197386	-0.100714	0.197381
-0.100909	0.197376	-0.100907	0.197371
-0.101101	0.197366	-0.101099	0.197361
-0.101294	0.197356	-0.101291	0.197351
-0.101486	0.197345	-0.101484	0.197340
-0.101679	0.197335	-0.101676	0.197330
-0.101871	0.197325	-0.101868	0.197320
-0.102063	0.197315	-0.102061	0.197310
-0.102255	0.197305	-0.102253	0.197300
-0.102448	0.197294	-0.102445	0.197289
-0.102640	0.197284	-0.102637	0.197279
-0.102832	0.197274	-0.102830	0.197269
-0.103025	0.197264	-0.103022	0.197259
-0.103217	0.197253	-0.103214	0.197248
-0.103409	0.197243	-0.103407	0.197238
-0.103601	0.197233	-0.103599	0.197228
-0.103794	0.197222	-0.103791	0.197217
-0.103986	0.197212	-0.103983	0.197207
-0.104178	0.197202	-0.104175	0.197196
-0.104370	0.197191	-0.104368	0.197186
-0.104562	0.197181	-0.104560	0.197176
-0.104755	0.197170	-0.104752	0.197165
-0.104947	0.197160	-0.104944	0.197155
-0.105139	0.197149	-0.105136	0.197144
-0.105331	0.197139	-0.105328	0.197134
-0.105523	0.197128	-0.105521	0.197123
-0.105715	0.197118	-0.105713	0.197112
-0.105908	0.197107	-0.105905	0.197102
-0.106100	0.197097	-0.106097	0.197091
-0.106292	0.197086	-0.106289	0.197081
-0.106484	0.197075	-0.106481	0.197070
-0.106676	0.197065	-0.106673	0.197059
-0.106868	0.197054	-0.106865	0.197049
-0.107060	0.197043	-0.107057	0.197038
-0.107252	0.197033	-0.107249	0.197027
-0.107444	0.197022	-0.107441	0.197017
-0.107636	0.197011	-0.107633	0.197006
-0.107828	0.197000	-0.107825	0.196995
-0.108020	0.196990	-0.108017	0.196984
-0.108212	0.196979	-0.108209	0.196973
-0.108404	0.196968	-0.108401	0.196963
-0.108596	0.196957	-0.108593	0.196952
-0.108788	0.196946	-0.108785	0.196941
-0.108980	0.196935	-0.108977	0.196930
-0.109172	0.196924	-0.109169	0.196919
-0.109364	0.196914	-0.109361	0.196908
-0.109556	0.196903	-0.109553	0.196897
-0.109748	0.196892	-0.109745	0.196886
